1;;
COD;PRODUTOS;VEND. POR:
7619;AZEITE COMPOSTO OLIVA E SOJA FAISÃO 500 ML (CX 15 FR);FR
1846;AZEITE COMPOSTO OLIVA E SOJA MARIA 500 ML (CX 20 LT);LT
6961;"AZEITE COMPOSTO TEMPERO CEBOLA E ALHO LISBOA BLEND 500 ML
(CX 12 VD)";VD
3846;AZEITE DE OLIVA EXTRA VIRGEM ANDORINHA 500 ML (CX 12 VD);VD
857;AZEITE DE OLIVA EXTRA VIRGEM GALLO 500 ML (CX 20 VD);VD
7020;AZEITE DE OLIVA EXTRA VIRGEM MORIXE 500 ML (CX 12 FR);FR
6920;AZEITE DE OLIVA GRANDE EXTRA VIRGEM GALLO 5 L (CX 2 GL);GL
8346;AZEITE DE OLIVA GRANDE EXTRA VIRGEM REY 5,01 L (CX 3 GL);GL
5323;AZEITE DE OLIVA GRANDE EXTRA VIRGEM TERRANO 5,01 L (CX 3 GL);GL
5219;AZEITE DE OLIVA MÉDIO EXTRA VIRGEM GALLO 2 L (CX 6 GL);GL
3238;AZEITE DE OLIVA PEQUENO EXTRA VIRGEM GALLO 250 ML (CX 20 VD);VD
3500;AZEITE DE OLIVA SACHÊ BOM SABOR 4 ML (CX 200 UN);CX
5181;AZEITE DE OLIVA SACHÊ EKMA 4 ML (CX 120 UN);CX
8464;AZEITE DE OLIVA SACHÊ ISIS 4 ML (CX 200 UN);CX
3625;AZEITE DE OLIVA TIPO ÚNICO GALLO 500 ML (CX 20 VD);VD
3270;AZEITE DENDÊ CEPÊRA 900 ML (CX 12 FR);FR
2940;AZEITE GRANDE COMPOSTO 30% OLIVA E SOJA LISBOA 5,02 L (CX 4 GL);GL
8519;"AZEITE GRANDE COMPOSTO 40% OLIVA 30% GIRASSOL E 30% SOJA
FELICITÁ  5,01 L (CX 4 GL)";GL
7419;"AZEITE GRANDE COMPOSTO 50% OLIVA E GIRASSOL LISBOA 5,02 L (CX
4 GL)";GL
5027;AZEITONA PRETA FATIADA ARCO BELLO (BD 1,8 KG);BD
1696;AZEITONA PRETA FATIADA COLOSSO 2 KG (CX 4 BD);BD
8143;AZEITONA PRETA FATIADA RAINHA (BD 1,8 KG);BD
1695;AZEITONA PRETA GRAÚDA 11 X 13 AZAPA COLOSSO 2 KG (CX 4 BD);BD
8225;AZEITONA PRETA GRAÚDA 12 X 16 COLOSSO 2 KG (CX 4 BD);BD
5487;AZEITONA PRETA GRAÚDA 9 X 11 AZAPA ARCO BELLO 2 KG (CX 6 BD);BD
7436;AZEITONA PRETA MÉDIA 14 X 16 TOZZI 2 KG (CX 4 BD);BD
5488;AZEITONA PRETA MÉDIA 20 X 24 ARCO BELLO 2 KG (CX 6 BD);BD
1697;AZEITONA PRETA MÉDIA 24 X 28 COLOSSO 2 KG (CX 4 BD);BD
1029;AZEITONA PRETA SEM CAROÇO ARCO BELLO 1,8 KG (CX 6 BD);BD
1699;AZEITONA PRETA SEM CAROÇO COLOSSO 2 KG (CX 4 BD);BD
1761;AZEITONA VERDE FATIADA ARCO BELLO (BD 1,8 KG);BD
1700;AZEITONA VERDE FATIADA COLOSSO 2 KG (CX 4 BD);BD
8142;AZEITONA VERDE FATIADA RAINHA (BD 1,8 KG);BD
1701;AZEITONA VERDE GRAÚDA 16 X 20 COLOSSO 2 KG (CX 4 BD);BD
4950;AZEITONA VERDE MÉDIA 24 X 28 ARCO BELLO (BD 2 KG);BD
3257;AZEITONA VERDE MÉDIA 24 X 28 COLOSSO (BD GRANDE 15 KG);BD
2941;AZEITONA VERDE MÉDIA 24 X 28 COLOSSO (BD MÉDIO 7,5 KG);BD
1702;AZEITONA VERDE MÉDIA 24 X 28 COLOSSO 2 KG (CX 4 BD);BD
8151;AZEITONA VERDE MÉDIA 24 X 28 NUCETE 1,01 KG (CX 6 BAG);BAG
7435;AZEITONA VERDE MÉDIA 24 X 28 TOZZI 2 KG (CX 4 BD);BD
8387;AZEITONA VERDE MÉDIA 28 X 32 ARCO BELLO (BARRICA 40 KG);BARR
8139;AZEITONA VERDE MÉDIA 32 X 45 RAINHA (BD 2 KG);BD
8605;"AZEITONA VERDE MIÚDA ""32 X 36"" ARCO BELLO (BD 2 KG)";BD
8365;"AZEITONA VERDE MIÚDA ""40 X 50"" ARCO BELLO (BD 2 KG)";BD
1703;AZEITONA VERDE MIÚDA 45 X 50 COLOSSO 2 KG (CX 4 BD);BD
8144;AZEITONA VERDE MIÚDA 45 X 50 RAINHA (BD 2 KG);BD
1704;AZEITONA VERDE RECHEADA COLOSSO 2 KG (CX 4 BD);BD
3002;AZEITONA VERDE SEM CAROÇO ARCO BELLO 1,8 KG (CX 6 BD);BD
5504;AZEITONA VERDE SEM CAROÇO COLOSSO (BD GRANDE 14 KG);BD
1705;AZEITONA VERDE SEM CAROÇO COLOSSO 2 KG (CX 4 BD);BD
8141;AZEITONA VERDE SEM CAROÇO RAINHA (BD 1,8 KG);BD
259;BACALHAU DESFIADO REFOGADO TEMPERADO RG 300 G (CX 12 PCT);PCT
8674;"BACALHAU POLACA DO ALASCA SALGADO SECO FILÉ EM PEDAÇOS
SEAPRO 5 KG (CX 2 PCT)";PCT
7975;"BACON EM CUBOS ""BARRIGA"" LACTOFRIOS 1 KG (CX 12 PCT)";PCT
5726;"BACON EM CUBOS ""PERNIL"" LACTOFRIOS 1 KG (CX 12 PCT)";PCT
271;BACON EM CUBOS BARRIGA AURORA 1 KG (CX 10 PCT);PCT
8485;BACON EM CUBOS BARRIGA E PALETA REZENDE 700 G (CX 12 PCT);PCT
1102;BACON EM CUBOS BARRIGA FRIMESA 1 KG (CX 10 PCT);PCT
8332;BACON EM CUBOS BARRIGA PAMPLONA 1 KG (CX 10 PCT);PCT
4888;BACON EM CUBOS BARRIGA PRIETO 1 KG (CX 6 PCT);PCT
3552;BACON EM CUBOS BARRIGA UNAÍ 2 KG (CX 5 PCT);PCT
5374;BACON EM CUBOS PALETA BESSER 1,5 KG (CX 8 PCT);PCT
8549;BACON EM CUBOS PALETA BRASA 1 KG (CX 15 PCT);PCT
5697;BACON EM CUBOS PALETA E PAPADA MISTER BEEF 1 KG (CX 18 PCT);PCT
1188;BACON ESPECIAL SEARA 5 KG (CX 15 KG);KG
5845;"BACON FATIADO ""PALETA"" MISTER BEEF 1 KG (CX 18 PCT)";PCT
4152;"BACON FATIADO ""PAPADA"" MISTER BEEF 1 KG (CX 18 PCT)";PCT
7801;BACON FATIADO BARRIGA AURORA 1 KG (CX 12 PCT);PCT
4497;BACON FATIADO BARRIGA FRIMESA 1 KG (CX 9 PCT);PCT
5727;BACON FATIADO BARRIGA LACTOFRIOS 1 KG (CX 12 PCT);PCT
8380;BACON FATIADO BARRIGA SEARA GOURMET 2,5 KG (CX 6 PCT);PCT
3852;BACON FATIADO BARRIGA UNAÍ 2 KG (CX 5 PCT);PCT
5375;BACON FATIADO PALETA BESSER 1,5 KG (CX 8 PCT);PCT
4058;BACON FATIADO REDONDO PALETA MISTER BEEF 1 KG (CX 18 PCT);PCT
5008;BACON MANTA PERDIGÃO 4 KG (CX 14 KG);KG
53;BACON MANTA REZENDE 4 KG (CX 14 KG);KG
5741;BACON MANTA SADIA 3,4 KG (CX 10 KG);KG
61;BACON MÉDIO AURORA 3,7 KG (CX 11 KG);KG
6878;BACON PALETA DÁLIA 4,5 KG (CX 14 KG);KG
5062;BACON PALETA FRICASA 4 KG (CX 20 KG);KG
1282;"BANDEJA PARA ESFIHA ""22"" 17 X 20 CM (PCT 100 UN)";PCT
1283;"BANDEJA PARA ESFIHA ""23"" 20 X 24 CM (PCT 100 UN)";PCT
1286;"BANDEJA PARA ESFIHA ""24"" 21 X 27 CM (PCT 100 UN)";PCT
1287;"BANDEJA PARA ESFIHA ""25"" 27 X 32 CM (PCT 100 UN)";PCT
48;BANHA AURORA 1 KG (CX 15 PCT);PCT
6266;BANHA COOPAVEL 1 KG (CX 30 PCT);PCT
3335;BANHA FRIMESA 1 KG (CX 18 PCT);PCT
47;BANHA NOBRE 1 KG (CX 15 PCT);PCT
8355;BARRIGA SUÍNA CONGELADA FRIORI 7 KG (CX 21 KG);KG
460;BASE CULINÁRIA LECO 1 KG (CX 12 UN);CX
5933;BATATA CONGELADA CARINHAS BEM BRASIL 1,05 KG (CX 10 PCT);CX
6185;"BATATA CONGELADA PRÉ FRITA COM CASCA DIPPERS CANOA
TEMPERADA LAMBWESTON 2 KG (CX 5 PCT)";CX
4631;"BATATA CONGELADA PRÉ FRITA COM CASCA RÚSTICA CORTE
CASEIRO BEM BRASIL 2,5 KG (CX 6 PCT)";CX
7871;"BATATA CONGELADA PRÉ FRITA COM CASCA RÚSTICA SKIN ON
WEDGES MCCAIN 2,5 KG (CX 5 PCT)";CX
7727;"BATATA CONGELADA PRÉ FRITA COM CASCA RÚSTICA SKIN ON
WEDGES SIMPLOT 2 KG (CX 7 PCT)";CX
7785;"BATATA CONGELADA PRÉ FRITA COM CASCA RÚSTICA SURECRISP
CRISPERS MCCAIN 2,5 KG (CX 5 PCT)";CX
6760;"BATATA CONGELADA PRÉ FRITA COM CASCA RÚSTICA WEDGES
TEMPERADA E ONDULADA LAMBWESTON 2 KG (CX 5 PCT)";CX
8531;"BATATA CONGELADA PRÉ FRITA COM CASCA SKIN ON LATTICE EXTRA
CRUNCH SIMPLOT 2 KG (CX 6 PCT)";CX
6900;"BATATA CONGELADA PRÉ FRITA CRISSCUT CORTE XADREX
TEMPERADA LAMBWESTON 2 KG (CX 5 PCT)";CX
4755;"BATATA CONGELADA PRÉ FRITA FRY N DIP CANOA MCCAIN 2,5 KG (CX
6 PCT)";CX
7273;"BATATA CONGELADA PRÉ FRITA HASH BROWN BEM BRASIL 1,06 KG
(CX 8 PCT)";PCT
5429;BATATA CONGELADA PRÉ FRITA MAXI CHIPS MCCAIN 2 KG (CX 5 PCT);CX
5237;BATATA CONGELADA PRÉ FRITA NOISETTES MCCAIN 2,5 KG (CX 4 PCT);CX
8619;"BATATA CONGELADA PRÉ FRITA SIDEWINDERS SIMPLOT 1,5 KG (CX 6
PCT)";CX
3218;"BATATA CONGELADA PRÉ FRITA SMILES SORRISO MCCAIN 1,5 KG (CX 6
PCT)";CX
5661;"BATATA CONGELADA PRÉ FRITA SURECRISP SKIN-ON WAFFLE FRIES
CROSSTRAX MCCAIN 2,04 KG (CX 6 PCT)";CX
7296;BATATA PALHA EXTRAFINA DA TERRINHA 100 G (CX 20 PCT);PCT
4440;BATATA PALHA EXTRAFINA KISABOR 100 G (CX 20 PCT);PCT
4915;BATATA PALHA EXTRAFINA KROCK 500 G (FDO 20 PCT);PCT
3990;BATATA PALHA TRADICIONAL KISABOR 100 G (CX 20 PCT);PCT
7109;BATATA PALHA TRADICIONAL KROCK 500 G (FDO 20 PCT);PCT
5712;BATATA PALHA TRADICIONAL YOKI 105 G (CX 20 PCT);PCT
5838;"BATATA PALITO CONGELADA PRÉ FRITA 10 MM CORTE TRADICIONAL
""EXTRA CRUNCH"" SIMPLOT 2,5 KG (CX 6 PCT)";CX
7171;"BATATA PALITO CONGELADA PRÉ FRITA 10 MM CORTE TRADICIONAL
RAPIPAP 2,5 KG (CX 6 PCT)";CX
6745;"BATATA PALITO CONGELADA PRÉ FRITA 10 MM CORTE TRADICIONAL
SIMPLOT 2 KG (CX 7 PCT)";CX
